user_id,engagement_segment,region,device_type,recency_days,frequency_sessions,educational_value_xp
61,regular,semiurbano,mobile,5,6,1686.0
62,casual,urbano,mobile,0,7,750.0
63,casual,semiurbano,mobile,1,10,343.0
64,casual,semiurbano,desktop,1,4,627.0
65,dedicado,semiurbano,tablet,1,21,2870.0
66,dedicado,urbano,mobile,0,20,1994.0
67,casual,rural,desktop,2,6,522.0
68,casual,semiurbano,mobile,3,8,602.0
69,regular,urbano,mobile,3,12,3001.0
70,casual,urbano,mobile,2,7,1003.0
71,regular,urbano,mobile,1,9,2992.0
72,casual,urbano,mobile,0,7,2499.0
73,regular,urbano,mobile,0,9,1395.0
74,dedicado,urbano,mobile,0,19,3506.0
75,dedicado,rural,mobile,0,12,3723.0
76,regular,semiurbano,mobile,0,9,3170.0
77,casual,urbano,mobile,3,10,780.0
78,dedicado,urbano,tablet,0,17,2705.0
79,casual,rural,mobile,21,3,607.0
80,casual,urbano,mobile,0,9,456.0
81,casual,urbano,mobile,3,6,1737.0
82,regular,urbano,desktop,1,10,1172.0
83,casual,urbano,mobile,0,4,346.0
84,casual,urbano,mobile,19,7,859.0
85,casual,semiurbano,desktop,3,4,384.0
86,regular,semiurbano,mobile,3,6,1756.0
87,casual,urbano,desktop,6,11,598.0
88,regular,semiurbano,tablet,0,11,1216.0
89,regular,urbano,mobile,0,10,1640.0
90,dedicado,semiurbano,mobile,0,16,3393.0
91,dedicado,rural,mobile,4,24,2335.0
92,casual,semiurbano,mobile,6,7,575.0
93,dedicado,semiurbano,desktop,1,16,2686.0
94,regular,urbano,tablet,1,12,2337.0
95,regular,urbano,mobile,6,12,1888.0
96,regular,rural,desktop,2,7,1115.0
97,regular,urbano,mobile,0,10,1239.0
98,dedicado,urbano,desktop,1,14,4299.0
99,casual,semiurbano,mobile,4,9,293.0
100,regular,urbano,mobile,0,12,1396.0
101,regular,urbano,tablet,2,16,1421.0
102,casual,urbano,mobile,1,6,327.0
103,regular,urbano,desktop,1,11,1840.0
104,casual,rural,mobile,24,7,496.0
105,regular,urbano,desktop,1,7,1333.0
106,casual,semiurbano,mobile,5,6,497.0
107,regular,semiurbano,mobile,0,7,3508.0
108,dedicado,urbano,mobile,2,23,4981.0
109,regular,rural,desktop,0,11,1649.0
110,casual,semiurbano,mobile,6,5,378.0
111,regular,semiurbano,mobile,0,6,1655.0
112,casual,semiurbano,desktop,6,3,466.0
113,regular,semiurbano,desktop,8,12,1034.0
114,casual,urbano,mobile,9,5,609.0
115,casual,rural,mobile,6,9,687.0
116,casual,urbano,mobile,3,4,631.0
117,casual,urbano,desktop,0,13,1058.0
118,regular,urbano,desktop,0,10,1460.0
119,casual,urbano,mobile,3,9,735.0
120,regular,rural,mobile,2,10,2094.0
121,regular,urbano,mobile,0,10,1273.0
122,dedicado,urbano,mobile,0,14,2776.0
123,casual,semiurbano,desktop,3,4,1484.0
124,casual,semiurbano,desktop,15,10,776.0
125,casual,urbano,mobile,17,6,341.0
126,casual,rural,desktop,1,3,717.0
127,regular,urbano,tablet,2,7,1693.0
128,regular,semiurbano,mobile,2,7,5587.0
129,casual,urbano,mobile,3,10,867.0
130,regular,urbano,mobile,4,7,1139.0
131,dedicado,rural,desktop,4,24,4726.0
132,regular,rural,mobile,0,8,1359.0
133,regular,semiurbano,desktop,1,10,1552.0
134,dedicado,urbano,mobile,0,13,2850.0
135,casual,rural,mobile,0,7,1645.0
136,regular,urbano,tablet,0,13,1645.0
137,regular,semiurbano,desktop,1,13,1291.0
138,regular,urbano,mobile,0,14,1399.0
139,casual,urbano,mobile,3,6,521.0
140,regular,urbano,desktop,0,14,3611.0
141,regular,urbano,mobile,0,6,3236.0
142,casual,urbano,desktop,0,5,545.0
143,casual,semiurbano,mobile,6,5,500.0
144,casual,semiurbano,mobile,0,4,491.0
145,dedicado,semiurbano,mobile,0,20,7279.0
146,casual,rural,mobile,6,6,424.0
147,casual,urbano,mobile,0,6,536.0
148,casual,rural,mobile,15,9,717.0
149,casual,rural,desktop,2,5,681.0
150,casual,urbano,tablet,3,3,456.0
151,dedicado,semiurbano,desktop,0,14,4444.0
152,casual,urbano,mobile,13,4,659.0
153,regular,urbano,desktop,3,12,910.0
154,casual,urbano,mobile,0,6,478.0
155,regular,urbano,desktop,3,11,2757.0
156,casual,urbano,mobile,14,7,541.0
157,regular,rural,mobile,1,16,1545.0
158,casual,rural,mobile,0,10,1476.0
159,casual,urbano,mobile,2,2,1256.0
160,regular,semiurbano,tablet,0,10,2888.0
161,regular,urbano,desktop,1,12,1325.0
162,casual,urbano,mobile,1,7,1607.0
163,casual,urbano,mobile,2,7,637.0
164,regular,urbano,mobile,0,14,1072.0
165,casual,semiurbano,desktop,0,2,644.0
166,casual,semiurbano,tablet,0,3,841.0
167,dedicado,urbano,desktop,0,18,3011.0
168,casual,urbano,desktop,15,6,766.0
169,casual,urbano,desktop,6,7,511.0
170,casual,urbano,mobile,4,6,644.0
171,casual,urbano,tablet,11,7,540.0
172,casual,semiurbano,mobile,2,7,721.0
173,regular,urbano,mobile,5,12,1156.0
174,dedicado,semiurbano,mobile,2,20,2339.0
175,dedicado,urbano,mobile,0,16,4850.0
176,casual,urbano,desktop,1,7,415.0
177,dedicado,semiurbano,mobile,0,21,3058.0
178,casual,rural,mobile,7,4,411.0
179,regular,urbano,desktop,4,11,1549.0
180,casual,urbano,desktop,2,12,1437.0
181,regular,semiurbano,mobile,0,14,1816.0
182,regular,urbano,desktop,0,17,2126.0
183,dedicado,urbano,mobile,0,23,2420.0
184,dedicado,urbano,mobile,0,11,2649.0
185,casual,urbano,mobile,6,8,643.0
186,regular,semiurbano,mobile,2,14,1459.0
187,regular,semiurbano,mobile,2,13,1803.0
188,casual,rural,mobile,0,4,492.0
189,regular,urbano,desktop,7,11,1193.0
190,casual,semiurbano,mobile,4,11,2668.0
191,casual,semiurbano,mobile,1,7,371.0
192,regular,rural,mobile,1,11,1749.0
193,casual,rural,mobile,0,4,559.0
194,regular,urbano,tablet,0,17,1630.0
195,regular,urbano,mobile,0,9,1571.0
196,casual,semiurbano,tablet,1,4,1841.0
197,dedicado,urbano,mobile,0,18,5968.0
198,casual,semiurbano,desktop,8,4,315.0
199,casual,semiurbano,mobile,2,6,381.0
200,casual,rural,desktop,1,6,531.0
201,regular,urbano,mobile,0,17,1581.0
202,regular,semiurbano,mobile,4,6,1352.0
203,casual,urbano,mobile,4,4,532.0
204,regular,urbano,mobile,2,15,1654.0
205,regular,semiurbano,mobile,4,17,2761.0
206,regular,urbano,mobile,0,9,1340.0
207,casual,semiurbano,tablet,9,3,750.0
208,casual,urbano,mobile,0,2,610.0
209,dedicado,urbano,mobile,1,20,3357.0
210,dedicado,semiurbano,mobile,2,12,2816.0
211,casual,semiurbano,mobile,5,5,532.0
212,regular,urbano,mobile,2,6,3401.0
213,casual,urbano,mobile,5,9,490.0
214,casual,urbano,mobile,0,7,419.0
215,casual,urbano,mobile,7,7,402.0
216,casual,urbano,mobile,0,10,922.0
217,casual,semiurbano,mobile,7,4,649.0
218,dedicado,semiurbano,desktop,0,21,4749.0
219,regular,urbano,desktop,3,10,1278.0
220,casual,urbano,mobile,1,12,2085.0
221,casual,urbano,mobile,4,7,390.0
222,casual,urbano,mobile,5,7,582.0
223,regular,rural,mobile,4,8,1385.0
224,regular,urbano,tablet,2,12,1084.0
225,casual,urbano,mobile,0,10,651.0
226,casual,rural,desktop,1,3,909.0
227,regular,rural,mobile,4,9,1405.0
228,dedicado,urbano,desktop,0,11,4397.0
229,regular,urbano,tablet,0,11,3105.0
230,dedicado,urbano,mobile,2,19,5518.0
231,casual,semiurbano,desktop,4,9,803.0
232,casual,urbano,desktop,2,10,553.0
233,dedicado,urbano,mobile,3,18,3093.0
234,regular,rural,mobile,0,17,3191.0
235,casual,urbano,tablet,6,3,426.0
236,casual,urbano,desktop,1,3,438.0
237,casual,urbano,desktop,4,4,559.0
238,regular,urbano,mobile,0,18,1411.0
239,casual,urbano,desktop,3,9,979.0
240,casual,rural,desktop,3,2,598.0
241,regular,rural,desktop,3,12,1283.0
242,dedicado,rural,tablet,0,19,5668.0
243,dedicado,urbano,tablet,1,26,3874.0
244,casual,rural,desktop,7,11,430.0
245,casual,rural,mobile,1,3,392.0
246,casual,urbano,mobile,29,6,937.0
247,casual,semiurbano,mobile,1,8,579.0
248,casual,semiurbano,mobile,0,2,2102.0
249,casual,urbano,mobile,8,3,2091.0
250,casual,semiurbano,mobile,4,12,791.0
251,dedicado,semiurbano,mobile,1,21,3033.0
252,casual,urbano,tablet,3,10,2594.0
253,casual,semiurbano,mobile,0,3,632.0
254,dedicado,urbano,desktop,1,17,4828.0
255,regular,urbano,mobile,0,10,1957.0
256,regular,urbano,mobile,1,10,2121.0
257,casual,urbano,mobile,6,13,535.0
258,dedicado,urbano,desktop,0,8,4484.0
259,dedicado,urbano,mobile,1,17,2619.0
260,regular,urbano,tablet,1,13,1204.0
261,dedicado,urbano,desktop,0,18,3105.0
262,regular,urbano,mobile,2,16,2817.0
263,casual,semiurbano,desktop,3,9,712.0
264,regular,rural,mobile,0,7,1073.0
265,regular,urbano,mobile,1,5,1351.0
266,casual,urbano,desktop,0,6,1054.0
267,regular,rural,mobile,8,9,1424.0
268,casual,urbano,mobile,4,6,448.0
269,dedicado,semiurbano,tablet,1,11,2579.0
270,regular,semiurbano,mobile,0,8,1135.0
271,casual,semiurbano,mobile,0,6,763.0
272,dedicado,rural,mobile,0,25,3984.0
273,dedicado,urbano,mobile,4,21,3869.0
274,regular,urbano,mobile,5,15,1737.0
275,casual,rural,tablet,2,7,618.0
276,regular,semiurbano,mobile,0,12,2815.0
277,casual,urbano,mobile,2,9,539.0
278,casual,rural,mobile,3,10,701.0
279,casual,rural,mobile,7,8,459.0
280,casual,rural,mobile,1,9,752.0
281,regular,urbano,mobile,1,9,1217.0
282,casual,urbano,mobile,0,6,564.0
283,casual,semiurbano,tablet,0,7,537.0
284,regular,urbano,mobile,2,7,2782.0
285,dedicado,semiurbano,mobile,0,20,4891.0
286,dedicado,semiurbano,mobile,0,15,2738.0
287,regular,semiurbano,mobile,0,6,2855.0
288,dedicado,urbano,tablet,0,23,2771.0
289,regular,semiurbano,mobile,1,13,5549.0
290,regular,rural,mobile,0,15,1251.0
291,casual,urbano,desktop,18,10,522.0
292,casual,urbano,mobile,4,5,1339.0
293,dedicado,semiurbano,mobile,0,16,2671.0
294,casual,urbano,mobile,2,3,2064.0
295,regular,urbano,mobile,0,10,1224.0
296,casual,urbano,mobile,4,8,284.0
297,casual,semiurbano,mobile,1,8,390.0
298,casual,semiurbano,mobile,8,11,1667.0
299,regular,rural,mobile,1,10,1688.0
300,regular,urbano,mobile,3,11,1310.0
301,regular,urbano,mobile,3,12,921.0
302,casual,rural,tablet,14,6,426.0
303,casual,semiurbano,desktop,0,8,666.0
304,regular,rural,mobile,0,11,1283.0
305,casual,urbano,desktop,0,8,605.0
306,casual,urbano,mobile,2,8,351.0
307,regular,semiurbano,mobile,2,6,2944.0
308,casual,urbano,mobile,3,8,698.0
309,casual,urbano,mobile,10,8,452.0
310,casual,urbano,mobile,4,4,341.0
311,casual,semiurbano,desktop,1,8,434.0
312,regular,urbano,mobile,5,12,3461.0
313,regular,semiurbano,tablet,0,5,1499.0
314,dedicado,urbano,desktop,0,18,3526.0
315,dedicado,rural,tablet,1,19,2570.0
316,casual,rural,mobile,0,9,854.0
317,casual,urbano,mobile,0,5,807.0
318,regular,urbano,tablet,1,12,1238.0
319,casual,urbano,desktop,2,7,579.0
320,casual,semiurbano,mobile,1,7,819.0
321,regular,semiurbano,mobile,6,4,1769.0
322,regular,urbano,desktop,4,12,2137.0
323,casual,urbano,mobile,20,6,901.0
324,regular,urbano,mobile,0,5,1982.0
325,regular,urbano,tablet,0,12,1712.0
326,regular,semiurbano,mobile,0,13,3028.0
327,casual,urbano,mobile,2,8,827.0
328,casual,rural,desktop,2,3,411.0
329,dedicado,urbano,desktop,0,13,5654.0
330,regular,urbano,mobile,0,8,1267.0
331,casual,semiurbano,desktop,7,10,569.0
332,dedicado,semiurbano,mobile,0,20,4310.0
333,casual,semiurbano,desktop,17,10,349.0
334,regular,rural,mobile,9,7,1339.0
335,regular,rural,mobile,1,9,2821.0
336,casual,semiurbano,mobile,1,8,726.0
337,regular,semiurbano,mobile,0,9,1515.0
338,casual,urbano,mobile,2,9,642.0
339,dedicado,urbano,mobile,2,18,3163.0
340,dedicado,urbano,mobile,1,17,2567.0
341,dedicado,urbano,desktop,0,17,2648.0
342,dedicado,semiurbano,mobile,2,19,3721.0
343,casual,urbano,mobile,4,8,748.0
344,regular,semiurbano,mobile,1,12,2189.0
345,regular,rural,desktop,0,16,1338.0
346,regular,urbano,mobile,9,7,1640.0
347,regular,semiurbano,mobile,2,16,1201.0
348,casual,urbano,mobile,0,9,2053.0
349,casual,urbano,mobile,4,11,240.0
350,regular,urbano,tablet,0,6,1390.0
351,casual,urbano,tablet,13,7,642.0
352,regular,urbano,mobile,3,6,2929.0
353,casual,urbano,desktop,0,1,2296.0
354,casual,semiurbano,mobile,3,7,208.0
355,casual,semiurbano,mobile,0,6,668.0
356,regular,rural,tablet,3,12,1742.0
357,casual,rural,desktop,3,14,641.0
358,casual,semiurbano,mobile,0,8,333.0
359,casual,semiurbano,mobile,3,6,546.0
360,regular,semiurbano,tablet,1,16,1360.0
361,regular,urbano,mobile,0,16,1587.0
362,casual,semiurbano,mobile,3,6,532.0
363,regular,semiurbano,mobile,1,16,1373.0
364,regular,rural,desktop,3,12,1126.0
365,dedicado,urbano,mobile,0,20,3361.0
366,casual,rural,mobile,0,2,2103.0
367,dedicado,urbano,mobile,0,15,5595.0
368,casual,urbano,mobile,2,8,1823.0
369,dedicado,semiurbano,mobile,0,15,2499.0
370,casual,urbano,mobile,8,12,663.0
371,casual,urbano,mobile,5,6,667.0
372,casual,urbano,mobile,0,10,808.0
373,regular,urbano,mobile,3,12,1305.0
374,casual,rural,mobile,1,4,523.0
375,dedicado,semiurbano,mobile,0,26,4428.0
376,casual,urbano,tablet,0,3,555.0
377,dedicado,urbano,mobile,0,16,4074.0
378,casual,semiurbano,mobile,2,8,542.0
379,casual,urbano,mobile,5,8,686.0
380,regular,semiurbano,mobile,2,13,1293.0
381,casual,rural,mobile,4,4,774.0
382,regular,semiurbano,mobile,0,9,1386.0
383,casual,semiurbano,mobile,4,2,768.0
384,casual,semiurbano,mobile,1,7,637.0
385,casual,urbano,tablet,10,6,1330.0
386,casual,semiurbano,desktop,6,7,863.0
387,casual,urbano,desktop,0,7,502.0
388,dedicado,urbano,desktop,5,21,2581.0
389,regular,semiurbano,desktop,0,7,1594.0
390,casual,urbano,tablet,7,7,949.0
391,regular,semiurbano,desktop,0,18,3287.0
392,casual,semiurbano,mobile,1,6,737.0
393,regular,rural,mobile,1,8,1377.0
394,casual,urbano,desktop,5,5,1537.0
395,regular,semiurbano,tablet,0,10,2622.0
396,regular,urbano,mobile,0,17,2952.0
397,casual,urbano,mobile,9,3,331.0
398,regular,urbano,mobile,0,10,1510.0
399,regular,rural,mobile,1,12,3049.0
400,regular,urbano,mobile,2,12,1524.0
401,casual,semiurbano,mobile,11,6,732.0
402,casual,rural,desktop,4,2,948.0
403,casual,urbano,mobile,9,4,488.0
404,casual,semiurbano,desktop,9,6,2265.0
405,casual,semiurbano,mobile,0,5,2297.0
406,regular,semiurbano,desktop,2,7,2673.0
407,casual,urbano,mobile,2,5,554.0
408,regular,rural,mobile,0,14,990.0
409,casual,rural,mobile,5,6,317.0
410,regular,urbano,mobile,3,12,1426.0
411,casual,urbano,desktop,4,10,505.0
412,dedicado,semiurbano,tablet,1,19,5756.0
413,dedicado,urbano,mobile,0,16,4904.0
414,regular,urbano,mobile,1,16,2001.0
415,casual,rural,mobile,6,6,675.0
416,casual,semiurbano,desktop,2,6,2191.0
417,regular,urbano,mobile,0,10,2028.0
418,regular,urbano,desktop,1,10,1651.0
419,casual,semiurbano,mobile,1,5,551.0
420,regular,urbano,desktop,4,12,1441.0
421,casual,semiurbano,mobile,18,6,491.0
422,casual,urbano,mobile,15,5,535.0
423,regular,urbano,mobile,2,13,1240.0
424,regular,semiurbano,mobile,2,8,1565.0
425,casual,urbano,desktop,4,8,2002.0
426,casual,semiurbano,mobile,1,2,1038.0
427,casual,semiurbano,mobile,0,5,737.0
428,casual,semiurbano,desktop,0,9,396.0
429,dedicado,urbano,mobile,1,19,3892.0
430,dedicado,semiurbano,desktop,0,17,2486.0
431,regular,urbano,mobile,0,8,3362.0
432,casual,urbano,desktop,0,8,327.0
433,casual,urbano,tablet,0,8,317.0
434,dedicado,semiurbano,mobile,1,19,4912.0
435,casual,semiurbano,tablet,3,6,524.0
436,casual,semiurbano,desktop,9,6,1326.0
437,regular,rural,mobile,3,8,1398.0
438,casual,urbano,mobile,0,8,571.0
439,casual,urbano,desktop,1,6,432.0
440,casual,urbano,mobile,0,9,1789.0
441,regular,urbano,mobile,2,13,1790.0
442,casual,semiurbano,mobile,3,5,559.0
443,regular,semiurbano,mobile,10,17,2511.0
444,casual,urbano,mobile,11,9,505.0
445,casual,urbano,mobile,13,4,473.0
446,casual,urbano,mobile,0,6,479.0
447,regular,semiurbano,desktop,0,13,1113.0
448,casual,urbano,mobile,1,11,2061.0
449,regular,urbano,mobile,0,18,1556.0
450,regular,urbano,mobile,0,3,1454.0
451,dedicado,semiurbano,mobile,0,21,7082.0
452,casual,urbano,mobile,16,11,564.0
453,casual,urbano,mobile,1,9,680.0
454,regular,urbano,mobile,4,13,1552.0
455,casual,urbano,mobile,0,7,471.0
456,casual,rural,mobile,2,2,436.0
457,dedicado,urbano,mobile,0,16,4602.0
458,regular,urbano,mobile,2,9,2950.0
459,casual,urbano,desktop,10,6,707.0
460,casual,urbano,tablet,2,10,695.0
461,regular,semiurbano,mobile,1,8,1408.0
462,regular,urbano,mobile,1,10,1459.0
463,dedicado,semiurbano,mobile,1,20,4333.0
464,regular,semiurbano,mobile,3,12,1349.0
465,casual,urbano,mobile,0,6,584.0
466,casual,urbano,mobile,6,4,258.0
467,casual,urbano,tablet,0,8,912.0
468,regular,urbano,mobile,0,13,1404.0
469,casual,urbano,mobile,3,4,383.0
470,casual,semiurbano,desktop,5,9,1584.0
471,casual,urbano,mobile,2,5,596.0
472,regular,semiurbano,desktop,0,12,1241.0
473,casual,urbano,mobile,3,5,545.0
474,dedicado,semiurbano,mobile,0,22,2380.0
475,casual,rural,mobile,4,8,584.0
476,regular,semiurbano,mobile,0,10,1459.0
477,regular,urbano,mobile,1,9,894.0
478,dedicado,semiurbano,mobile,2,19,4086.0
479,casual,semiurbano,mobile,7,4,614.0
480,regular,urbano,mobile,0,8,1140.0
481,casual,urbano,tablet,5,4,393.0
482,casual,urbano,mobile,3,3,1001.0
483,casual,urbano,mobile,3,10,498.0
484,casual,urbano,desktop,0,5,346.0
485,casual,urbano,desktop,1,5,3746.0
486,dedicado,urbano,mobile,0,25,6232.0
487,casual,urbano,desktop,4,10,904.0
488,casual,urbano,mobile,1,8,578.0
489,regular,urbano,desktop,0,9,1732.0
490,casual,urbano,mobile,0,8,507.0
491,regular,rural,mobile,6,8,3779.0
492,regular,urbano,mobile,1,12,1360.0
493,regular,urbano,desktop,0,11,1698.0
494,regular,rural,tablet,1,11,1242.0
495,regular,urbano,mobile,0,9,1352.0
496,regular,rural,mobile,2,15,1631.0
497,regular,urbano,tablet,3,12,1729.0
498,casual,rural,tablet,25,7,502.0
499,casual,urbano,mobile,3,9,576.0
500,casual,semiurbano,mobile,2,7,939.0
501,dedicado,urbano,mobile,0,21,3438.0
502,casual,urbano,mobile,7,5,399.0
503,dedicado,urbano,mobile,0,22,3207.0
504,casual,urbano,mobile,9,6,538.0
505,casual,urbano,mobile,10,7,486.0
506,casual,semiurbano,mobile,8,3,632.0
507,casual,semiurbano,mobile,9,4,444.0
508,casual,urbano,mobile,7,2,644.0
509,casual,urbano,mobile,3,12,594.0
510,regular,semiurbano,tablet,0,13,1169.0
511,casual,urbano,mobile,0,5,620.0
512,casual,rural,mobile,13,8,677.0
513,dedicado,semiurbano,desktop,0,17,2389.0
514,casual,semiurbano,mobile,16,7,742.0
515,regular,urbano,mobile,2,14,1093.0
516,dedicado,urbano,desktop,0,15,4968.0
517,casual,urbano,desktop,7,7,514.0
518,regular,rural,mobile,0,13,1747.0
519,regular,urbano,tablet,0,4,1159.0
520,casual,semiurbano,mobile,5,9,462.0
521,regular,urbano,desktop,3,12,1432.0
522,dedicado,urbano,desktop,0,21,4962.0
523,dedicado,urbano,mobile,3,15,3941.0
524,regular,semiurbano,mobile,0,12,1120.0
525,casual,rural,mobile,0,8,689.0
526,regular,urbano,mobile,0,6,2534.0
527,dedicado,semiurbano,mobile,1,16,4574.0
528,dedicado,urbano,mobile,1,15,3178.0
529,casual,urbano,mobile,0,5,876.0
530,dedicado,urbano,mobile,0,27,3723.0
531,regular,urbano,desktop,6,10,1712.0
532,dedicado,urbano,mobile,1,21,4944.0
533,casual,semiurbano,mobile,8,8,595.0
534,dedicado,urbano,mobile,0,21,3833.0
535,regular,semiurbano,mobile,0,12,1158.0
536,casual,semiurbano,desktop,5,7,936.0
537,regular,urbano,mobile,2,15,1745.0
538,casual,rural,mobile,0,7,526.0
539,regular,urbano,mobile,1,10,3173.0
540,regular,rural,mobile,0,5,1145.0
541,regular,semiurbano,mobile,1,12,2550.0
542,regular,semiurbano,mobile,0,15,2348.0
543,regular,urbano,mobile,0,11,1814.0
544,casual,semiurbano,mobile,1,6,276.0
545,regular,semiurbano,desktop,6,11,2014.0
546,regular,semiurbano,mobile,2,11,1465.0
547,casual,urbano,mobile,6,12,850.0
548,casual,urbano,mobile,2,1,917.0
549,regular,semiurbano,tablet,0,8,4405.0
550,dedicado,urbano,mobile,0,13,5513.0
551,dedicado,urbano,desktop,0,13,4004.0
552,casual,urbano,mobile,1,7,962.0
553,casual,urbano,mobile,2,9,394.0
554,regular,urbano,desktop,1,9,1150.0
555,regular,semiurbano,desktop,1,8,895.0
556,dedicado,urbano,mobile,7,15,3505.0
557,regular,urbano,tablet,0,12,1437.0
558,casual,rural,mobile,0,7,1254.0
559,regular,semiurbano,mobile,0,11,2455.0
560,regular,semiurbano,mobile,1,9,1247.0
561,dedicado,semiurbano,mobile,1,18,2924.0
562,casual,urbano,mobile,0,5,530.0
563,casual,semiurbano,desktop,2,6,457.0
564,regular,semiurbano,desktop,1,14,1180.0
565,casual,urbano,mobile,0,7,1523.0
566,casual,urbano,mobile,3,7,995.0
567,dedicado,urbano,mobile,1,16,2616.0
568,regular,urbano,desktop,2,7,1635.0
569,regular,semiurbano,tablet,4,10,1162.0
570,dedicado,rural,desktop,0,18,3242.0
571,regular,rural,mobile,1,11,1629.0
572,dedicado,semiurbano,mobile,0,17,4790.0
573,regular,urbano,mobile,0,14,1504.0
574,regular,urbano,mobile,1,19,1450.0
575,casual,urbano,tablet,4,4,530.0
576,casual,urbano,mobile,4,6,713.0
577,regular,urbano,mobile,1,11,1453.0
578,casual,semiurbano,mobile,9,6,978.0
579,casual,urbano,mobile,3,6,390.0
580,regular,semiurbano,mobile,0,7,1214.0
581,regular,semiurbano,mobile,0,7,1755.0
582,casual,urbano,mobile,1,9,379.0
583,casual,semiurbano,mobile,6,11,818.0
584,regular,semiurbano,mobile,0,8,1716.0
585,casual,urbano,mobile,5,8,735.0
586,regular,urbano,tablet,1,12,2542.0
587,casual,urbano,desktop,0,8,808.0
588,dedicado,rural,mobile,0,15,2360.0
589,casual,urbano,desktop,0,5,487.0
590,casual,urbano,mobile,6,9,510.0
591,casual,urbano,mobile,4,5,577.0
592,regular,urbano,mobile,3,7,1271.0
593,dedicado,semiurbano,mobile,1,14,2923.0
594,casual,urbano,mobile,4,8,2026.0
595,casual,semiurbano,desktop,1,4,408.0
596,casual,rural,desktop,6,6,2346.0
597,regular,urbano,tablet,1,10,2803.0
598,casual,urbano,tablet,0,9,685.0
599,dedicado,urbano,mobile,0,14,2280.0
600,casual,urbano,desktop,5,3,772.0
601,regular,urbano,mobile,1,16,1974.0
602,regular,semiurbano,mobile,0,10,1549.0
603,regular,urbano,mobile,4,5,959.0
604,casual,semiurbano,mobile,2,4,777.0
605,regular,semiurbano,mobile,0,8,1400.0
606,regular,semiurbano,desktop,1,13,1495.0
607,dedicado,urbano,mobile,0,12,2873.0
608,casual,semiurbano,mobile,0,7,742.0
609,regular,urbano,mobile,0,7,1364.0
610,regular,urbano,mobile,3,6,1453.0
611,dedicado,urbano,mobile,0,22,2992.0
612,casual,urbano,mobile,3,8,652.0
613,regular,rural,mobile,0,14,1154.0
614,regular,urbano,desktop,1,13,3523.0
615,dedicado,urbano,tablet,0,21,6302.0
616,regular,urbano,mobile,0,8,1217.0
617,casual,urbano,mobile,5,9,685.0
618,regular,urbano,mobile,2,12,1726.0
619,casual,urbano,mobile,2,11,727.0
620,casual,semiurbano,desktop,3,9,871.0
621,regular,urbano,mobile,0,4,1545.0
622,regular,urbano,tablet,0,13,1282.0
