user_id,signup_date,region,device_type,engagement_segment,base_connectivity_score
116,2026-01-03,urbano,mobile,casual,0.796
117,2026-01-19,urbano,desktop,casual,0.75
118,2026-02-18,urbano,desktop,regular,0.915
119,2026-03-31,urbano,mobile,casual,0.874
120,2026-02-16,rural,mobile,regular,0.61
121,2026-02-16,urbano,mobile,regular,0.892
122,2026-01-23,urbano,mobile,dedicado,0.876
123,2026-02-18,semiurbano,desktop,casual,0.822
124,2026-01-15,semiurbano,desktop,casual,0.73
125,2026-01-19,urbano,mobile,casual,0.786
126,2026-02-25,rural,desktop,casual,0.555
127,2026-03-28,urbano,tablet,regular,0.789
128,2026-03-01,semiurbano,mobile,regular,0.585
129,2026-04-03,urbano,mobile,casual,0.924
130,2026-03-31,urbano,mobile,regular,0.827
131,2026-02-08,rural,desktop,dedicado,0.369
132,2026-03-07,rural,mobile,regular,0.507
133,2026-01-07,semiurbano,desktop,regular,0.829
134,2026-01-15,urbano,mobile,dedicado,0.94
135,2026-02-19,rural,mobile,casual,0.343
136,2026-03-02,urbano,tablet,regular,0.776
137,2026-03-29,semiurbano,desktop,regular,0.745
138,2026-01-21,urbano,mobile,regular,0.84
139,2026-03-13,urbano,mobile,casual,0.888
140,2026-03-11,urbano,desktop,regular,0.85
141,2026-01-23,urbano,mobile,regular,1.0
142,2026-04-29,urbano,desktop,casual,0.791
143,2026-03-07,semiurbano,mobile,casual,0.616
144,2026-02-15,semiurbano,mobile,casual,0.662
145,2026-02-04,semiurbano,mobile,dedicado,0.719
146,2026-01-19,rural,mobile,casual,0.562
147,2026-03-11,urbano,mobile,casual,0.754
148,2026-04-11,rural,mobile,casual,0.352
149,2026-01-13,rural,desktop,casual,0.349
150,2026-01-26,urbano,tablet,casual,1.0
151,2026-01-11,semiurbano,desktop,dedicado,0.693
152,2026-03-14,urbano,mobile,casual,0.924
153,2026-03-25,urbano,desktop,regular,0.85
154,2026-03-30,urbano,mobile,casual,0.864
155,2026-03-17,urbano,desktop,regular,0.843
156,2026-02-21,urbano,mobile,casual,0.989
157,2026-01-29,rural,mobile,regular,0.522
158,2026-04-09,rural,mobile,casual,0.745
159,2026-03-20,urbano,mobile,casual,0.801
160,2026-02-06,semiurbano,tablet,regular,0.619
161,2026-03-29,urbano,desktop,regular,0.892
162,2026-01-24,urbano,mobile,casual,0.84
163,2026-01-27,urbano,mobile,casual,0.893
164,2026-02-06,urbano,mobile,regular,0.894
165,2026-02-08,semiurbano,desktop,casual,0.73
166,2026-01-06,semiurbano,tablet,casual,0.631
167,2026-02-18,urbano,desktop,dedicado,0.815
168,2026-03-29,urbano,desktop,casual,0.808
169,2026-04-06,urbano,desktop,casual,0.945
170,2026-04-02,urbano,mobile,casual,0.884
171,2026-04-18,urbano,tablet,casual,0.678
172,2026-02-26,semiurbano,mobile,casual,0.805
173,2026-03-05,urbano,mobile,regular,0.918
174,2026-02-05,semiurbano,mobile,dedicado,0.607
175,2026-01-13,urbano,mobile,dedicado,0.927
176,2026-01-26,urbano,desktop,casual,0.902
177,2026-01-13,semiurbano,mobile,dedicado,0.748
178,2026-04-02,rural,mobile,casual,0.511
179,2026-03-05,urbano,desktop,regular,0.96
180,2026-04-07,urbano,desktop,casual,0.801
181,2026-04-05,semiurbano,mobile,regular,0.823
182,2026-03-09,urbano,desktop,regular,0.775
183,2026-02-12,urbano,mobile,dedicado,0.953
184,2026-01-25,urbano,mobile,dedicado,0.833
185,2026-01-02,urbano,mobile,casual,0.809
186,2026-02-27,semiurbano,mobile,regular,0.853
187,2026-03-10,semiurbano,mobile,regular,0.792
188,2026-04-10,rural,mobile,casual,0.574
189,2026-03-02,urbano,desktop,regular,0.879
190,2026-02-01,semiurbano,mobile,casual,0.721
191,2026-01-16,semiurbano,mobile,casual,0.734
192,2026-02-06,rural,mobile,regular,0.451
193,2026-02-15,rural,mobile,casual,0.498
194,2026-03-20,urbano,tablet,regular,0.934
195,2026-01-02,urbano,mobile,regular,0.859
196,2026-02-26,semiurbano,tablet,casual,0.702
197,2026-02-12,urbano,mobile,dedicado,0.919
198,2026-04-27,semiurbano,desktop,casual,0.697
199,2026-02-16,semiurbano,mobile,casual,0.835
200,2026-02-04,rural,desktop,casual,0.492
201,2026-03-11,urbano,mobile,regular,0.884
202,2026-01-15,semiurbano,mobile,regular,0.674
203,2026-01-12,urbano,mobile,casual,0.93
204,2026-01-07,urbano,mobile,regular,0.857
205,2026-01-07,semiurbano,mobile,regular,0.699
206,2026-01-09,urbano,mobile,regular,0.925
207,2026-03-30,semiurbano,tablet,casual,0.731
208,2026-04-25,urbano,mobile,casual,0.91
209,2026-02-28,urbano,mobile,dedicado,0.827
210,2026-02-25,semiurbano,mobile,dedicado,0.729
211,2026-01-29,semiurbano,mobile,casual,0.563
212,2026-01-06,urbano,mobile,regular,0.749
213,2026-04-20,urbano,mobile,casual,0.846
214,2026-02-18,urbano,mobile,casual,0.884
215,2026-02-08,urbano,mobile,casual,0.865
216,2026-03-31,urbano,mobile,casual,0.909
217,2026-02-23,semiurbano,mobile,casual,0.736
218,2026-02-09,semiurbano,desktop,dedicado,0.767
219,2026-02-05,urbano,desktop,regular,0.909
220,2026-01-19,urbano,mobile,casual,0.905
221,2026-01-22,urbano,mobile,casual,0.946
222,2026-04-09,urbano,mobile,casual,0.929
223,2026-04-07,rural,mobile,regular,0.641
224,2026-01-02,urbano,tablet,regular,0.953
225,2026-02-25,urbano,mobile,casual,0.836
226,2026-02-27,rural,desktop,casual,0.538
227,2026-01-17,rural,mobile,regular,0.515
228,2026-02-07,urbano,desktop,dedicado,0.887
229,2026-04-05,urbano,tablet,regular,0.685
230,2026-02-04,urbano,mobile,dedicado,1.0
231,2026-01-19,semiurbano,desktop,casual,0.691
232,2026-01-02,urbano,desktop,casual,0.898
233,2026-01-16,urbano,mobile,dedicado,0.901
234,2026-03-25,rural,mobile,regular,0.506
235,2026-04-25,urbano,tablet,casual,0.88
236,2026-02-28,urbano,desktop,casual,0.854
237,2026-03-15,urbano,desktop,casual,0.821
238,2026-01-30,urbano,mobile,regular,0.888
239,2026-03-20,urbano,desktop,casual,0.907
240,2026-04-18,rural,desktop,casual,0.672
241,2026-03-14,rural,desktop,regular,0.591
242,2026-02-09,rural,tablet,dedicado,0.552
243,2026-01-17,urbano,tablet,dedicado,0.92
244,2026-02-02,rural,desktop,casual,0.543
245,2026-03-03,rural,mobile,casual,0.341
246,2026-01-29,urbano,mobile,casual,0.864
247,2026-03-01,semiurbano,mobile,casual,0.808
248,2026-03-06,semiurbano,mobile,casual,0.693
249,2026-03-29,urbano,mobile,casual,1.0
250,2026-04-25,semiurbano,mobile,casual,0.901
251,2026-02-22,semiurbano,mobile,dedicado,0.927
252,2026-02-21,urbano,tablet,casual,0.812
253,2026-03-04,semiurbano,mobile,casual,0.758
254,2026-02-26,urbano,desktop,dedicado,0.978
255,2026-03-09,urbano,mobile,regular,0.793
256,2026-01-05,urbano,mobile,regular,0.874
257,2026-01-21,urbano,mobile,casual,0.747
258,2026-01-27,urbano,desktop,dedicado,1.0
259,2026-02-24,urbano,mobile,dedicado,0.897
260,2026-03-15,urbano,tablet,regular,0.846
261,2026-01-11,urbano,desktop,dedicado,0.944
262,2026-01-10,urbano,mobile,regular,0.854
263,2026-03-01,semiurbano,desktop,casual,0.76
264,2026-01-19,rural,mobile,regular,0.619
265,2026-04-07,urbano,mobile,regular,0.961
266,2026-04-04,urbano,desktop,casual,0.836
267,2026-02-17,rural,mobile,regular,0.752
268,2026-02-01,urbano,mobile,casual,0.811
269,2026-02-06,semiurbano,tablet,dedicado,0.759
270,2026-03-21,semiurbano,mobile,regular,0.811
271,2026-03-12,semiurbano,mobile,casual,0.748
272,2026-01-18,rural,mobile,dedicado,0.637
273,2026-01-26,urbano,mobile,dedicado,0.868
274,2026-02-20,urbano,mobile,regular,0.881
275,2026-02-10,rural,tablet,casual,0.548
276,2026-02-20,semiurbano,mobile,regular,0.769
277,2026-02-25,urbano,mobile,casual,0.806
278,2026-04-16,rural,mobile,casual,0.612
279,2026-01-28,rural,mobile,casual,0.6
280,2026-03-10,rural,mobile,casual,0.595
281,2026-03-03,urbano,mobile,regular,1.0
282,2026-01-02,urbano,mobile,casual,0.899
283,2026-03-19,semiurbano,tablet,casual,0.798
284,2026-04-03,urbano,mobile,regular,0.916
285,2026-02-11,semiurbano,mobile,dedicado,0.694
286,2026-01-20,semiurbano,mobile,dedicado,0.787
287,2026-02-10,semiurbano,mobile,regular,0.692
288,2026-03-02,urbano,tablet,dedicado,0.876
289,2026-03-21,semiurbano,mobile,regular,0.671
290,2026-02-02,rural,mobile,regular,0.659
291,2026-01-08,urbano,desktop,casual,0.897
292,2026-01-25,urbano,mobile,casual,0.885
293,2026-02-26,semiurbano,mobile,dedicado,0.776
294,2026-01-26,urbano,mobile,casual,0.831
295,2026-02-16,urbano,mobile,regular,0.818
296,2026-02-11,urbano,mobile,casual,0.868
297,2026-04-07,semiurbano,mobile,casual,0.836
298,2026-01-12,semiurbano,mobile,casual,0.739
299,2026-01-15,rural,mobile,regular,0.589
300,2026-03-10,urbano,mobile,regular,0.828
301,2026-03-25,urbano,mobile,regular,0.861
302,2026-04-20,rural,tablet,casual,0.516
303,2026-01-09,semiurbano,desktop,casual,0.774
304,2026-03-17,rural,mobile,regular,0.723
305,2026-04-17,urbano,desktop,casual,0.84
306,2026-03-13,urbano,mobile,casual,0.916
307,2026-04-09,semiurbano,mobile,regular,0.648
308,2026-01-08,urbano,mobile,casual,0.865
309,2026-04-07,urbano,mobile,casual,0.993
310,2026-03-05,urbano,mobile,casual,0.838
311,2026-01-16,semiurbano,desktop,casual,0.6
312,2026-01-23,urbano,mobile,regular,0.881
313,2026-04-03,semiurbano,tablet,regular,0.645
314,2026-01-17,urbano,desktop,dedicado,0.899
315,2026-01-15,rural,tablet,dedicado,0.517
316,2026-03-06,rural,mobile,casual,0.685
317,2026-03-15,urbano,mobile,casual,0.92
318,2026-01-23,urbano,tablet,regular,0.877
319,2026-02-13,urbano,desktop,casual,0.848
320,2026-03-10,semiurbano,mobile,casual,0.702
321,2026-02-19,semiurbano,mobile,regular,0.724
322,2026-01-30,urbano,desktop,regular,0.85
323,2026-03-12,urbano,mobile,casual,0.93
324,2026-02-12,urbano,mobile,regular,0.903
325,2026-04-09,urbano,tablet,regular,0.818
326,2026-04-05,semiurbano,mobile,regular,0.658
327,2026-02-14,urbano,mobile,casual,0.842
328,2026-04-16,rural,desktop,casual,0.408
329,2026-01-23,urbano,desktop,dedicado,0.929
330,2026-02-08,urbano,mobile,regular,0.747
331,2026-04-06,semiurbano,desktop,casual,0.867
332,2026-01-18,semiurbano,mobile,dedicado,0.724
333,2026-02-25,semiurbano,desktop,casual,0.9
334,2026-03-24,rural,mobile,regular,0.497
335,2026-01-19,rural,mobile,regular,0.502
336,2026-04-30,semiurbano,mobile,casual,0.789
337,2026-03-26,semiurbano,mobile,regular,0.553
338,2026-04-08,urbano,mobile,casual,0.887
339,2026-02-08,urbano,mobile,dedicado,0.857
340,2026-02-08,urbano,mobile,dedicado,0.846
341,2026-02-20,urbano,desktop,dedicado,0.857
342,2026-02-11,semiurbano,mobile,dedicado,0.766
343,2026-03-22,urbano,mobile,casual,0.94
344,2026-01-26,semiurbano,mobile,regular,0.62
345,2026-01-08,rural,desktop,regular,0.678
346,2026-03-20,urbano,mobile,regular,0.908
347,2026-02-19,semiurbano,mobile,regular,0.63
348,2026-04-14,urbano,mobile,casual,0.941
349,2026-02-13,urbano,mobile,casual,0.975
350,2026-03-08,urbano,tablet,regular,0.785
351,2026-01-28,urbano,tablet,casual,0.745
352,2026-01-19,urbano,mobile,regular,0.937
353,2026-02-08,urbano,desktop,casual,0.872
354,2026-02-16,semiurbano,mobile,casual,0.788
355,2026-01-27,semiurbano,mobile,casual,0.651
356,2026-01-29,rural,tablet,regular,0.617
357,2026-01-05,rural,desktop,casual,0.539
358,2026-02-16,semiurbano,mobile,casual,0.815
359,2026-02-10,semiurbano,mobile,casual,0.713
360,2026-04-09,semiurbano,tablet,regular,0.531
361,2026-02-23,urbano,mobile,regular,1.0
362,2026-04-11,semiurbano,mobile,casual,0.726
363,2026-01-20,semiurbano,mobile,regular,0.646
364,2026-01-30,rural,desktop,regular,0.651
365,2026-01-04,urbano,mobile,dedicado,0.937
366,2026-03-04,rural,mobile,casual,0.53
367,2026-01-10,urbano,mobile,dedicado,0.845
368,2026-04-05,urbano,mobile,casual,0.932
369,2026-03-02,semiurbano,mobile,dedicado,0.74
370,2026-04-30,urbano,mobile,casual,0.845
371,2026-04-23,urbano,mobile,casual,0.876
372,2026-01-26,urbano,mobile,casual,0.798
373,2026-04-11,urbano,mobile,regular,0.855
374,2026-02-23,rural,mobile,casual,0.363
375,2026-01-05,semiurbano,mobile,dedicado,0.743
376,2026-02-03,urbano,tablet,casual,0.832
377,2026-02-08,urbano,mobile,dedicado,0.853
378,2026-03-14,semiurbano,mobile,casual,0.843
379,2026-01-15,urbano,mobile,casual,0.93
380,2026-02-07,semiurbano,mobile,regular,0.789
381,2026-03-03,rural,mobile,casual,0.515
382,2026-03-31,semiurbano,mobile,regular,0.787
383,2026-02-17,semiurbano,mobile,casual,0.525
384,2026-03-12,semiurbano,mobile,casual,0.808
385,2026-03-02,urbano,tablet,casual,0.976
386,2026-03-28,semiurbano,desktop,casual,0.625
387,2026-01-27,urbano,desktop,casual,0.97
388,2026-01-17,urbano,desktop,dedicado,0.904
389,2026-02-02,semiurbano,desktop,regular,0.742
390,2026-01-05,urbano,tablet,casual,0.964
391,2026-02-02,semiurbano,desktop,regular,0.797
392,2026-01-27,semiurbano,mobile,casual,0.667
393,2026-03-03,rural,mobile,regular,0.386
394,2026-01-14,urbano,desktop,casual,0.964
395,2026-02-15,semiurbano,tablet,regular,0.666
396,2026-02-01,urbano,mobile,regular,0.889
397,2026-01-15,urbano,mobile,casual,0.914
398,2026-02-13,urbano,mobile,regular,1.0
399,2026-01-04,rural,mobile,regular,0.576
400,2026-01-21,urbano,mobile,regular,0.802
401,2026-02-10,semiurbano,mobile,casual,0.646
402,2026-02-03,rural,desktop,casual,0.464
403,2026-02-05,urbano,mobile,casual,0.954
404,2026-04-13,semiurbano,desktop,casual,0.59
405,2026-04-03,semiurbano,mobile,casual,0.746
406,2026-01-29,semiurbano,desktop,regular,0.774
407,2026-02-26,urbano,mobile,casual,0.87
408,2026-04-03,rural,mobile,regular,0.4
409,2026-04-26,rural,mobile,casual,0.604
410,2026-02-23,urbano,mobile,regular,0.913
411,2026-02-11,urbano,desktop,casual,0.78
412,2026-02-21,semiurbano,tablet,dedicado,0.815
413,2026-02-24,urbano,mobile,dedicado,0.947
414,2026-03-14,urbano,mobile,regular,0.732
415,2026-01-28,rural,mobile,casual,0.744
416,2026-03-02,semiurbano,desktop,casual,0.622
417,2026-03-27,urbano,mobile,regular,1.0
418,2026-02-24,urbano,desktop,regular,0.882
419,2026-02-02,semiurbano,mobile,casual,0.666
420,2026-03-10,urbano,desktop,regular,0.894
421,2026-03-18,semiurbano,mobile,casual,0.8
422,2026-01-09,urbano,mobile,casual,0.828
423,2026-03-27,urbano,mobile,regular,0.975
424,2026-01-16,semiurbano,mobile,regular,0.692
425,2026-04-05,urbano,desktop,casual,0.89
426,2026-01-03,semiurbano,mobile,casual,0.84
427,2026-03-14,semiurbano,mobile,casual,0.964
428,2026-02-06,semiurbano,desktop,casual,0.682
429,2026-02-18,urbano,mobile,dedicado,0.804
430,2026-02-07,semiurbano,desktop,dedicado,0.879
431,2026-01-29,urbano,mobile,regular,0.904
432,2026-01-25,urbano,desktop,casual,0.872
433,2026-02-09,urbano,tablet,casual,0.93
434,2026-01-25,semiurbano,mobile,dedicado,0.724
435,2026-03-07,semiurbano,tablet,casual,0.74
436,2026-01-02,semiurbano,desktop,casual,0.818
437,2026-01-11,rural,mobile,regular,0.459
438,2026-03-16,urbano,mobile,casual,0.883
439,2026-03-26,urbano,desktop,casual,0.935
440,2026-03-12,urbano,mobile,casual,0.913
441,2026-03-22,urbano,mobile,regular,0.995
442,2026-02-07,semiurbano,mobile,casual,0.464
443,2026-03-15,semiurbano,mobile,regular,0.82
444,2026-03-25,urbano,mobile,casual,0.944
445,2026-03-03,urbano,mobile,casual,0.852
446,2026-03-09,urbano,mobile,casual,0.856
447,2026-04-03,semiurbano,desktop,regular,0.91
448,2026-03-20,urbano,mobile,casual,0.812
449,2026-03-30,urbano,mobile,regular,0.785
450,2026-02-20,urbano,mobile,regular,0.8
451,2026-02-16,semiurbano,mobile,dedicado,0.676
452,2026-02-20,urbano,mobile,casual,0.87
453,2026-01-30,urbano,mobile,casual,0.828
454,2026-02-03,urbano,mobile,regular,0.732
455,2026-01-03,urbano,mobile,casual,0.93
456,2026-03-20,rural,mobile,casual,0.277
457,2026-01-23,urbano,mobile,dedicado,0.928
458,2026-01-16,urbano,mobile,regular,0.85
459,2026-01-29,urbano,desktop,casual,0.902
460,2026-04-26,urbano,tablet,casual,0.829
461,2026-03-10,semiurbano,mobile,regular,0.678
462,2026-04-08,urbano,mobile,regular,0.73
463,2026-01-22,semiurbano,mobile,dedicado,0.595
464,2026-01-13,semiurbano,mobile,regular,0.624
465,2026-04-16,urbano,mobile,casual,0.987
466,2026-03-03,urbano,mobile,casual,0.915
467,2026-03-02,urbano,tablet,casual,0.831
468,2026-03-28,urbano,mobile,regular,0.835
469,2026-04-25,urbano,mobile,casual,0.887
470,2026-04-15,semiurbano,desktop,casual,0.751
471,2026-04-06,urbano,mobile,casual,0.955
472,2026-03-31,semiurbano,desktop,regular,0.578
473,2026-03-09,urbano,mobile,casual,0.844
474,2026-02-23,semiurbano,mobile,dedicado,0.699
475,2026-01-15,rural,mobile,casual,0.362
476,2026-04-05,semiurbano,mobile,regular,0.647
477,2026-01-03,urbano,mobile,regular,0.84
478,2026-01-22,semiurbano,mobile,dedicado,0.722
479,2026-01-05,semiurbano,mobile,casual,0.62
480,2026-03-26,urbano,mobile,regular,0.821
481,2026-04-23,urbano,tablet,casual,0.966
482,2026-03-15,urbano,mobile,casual,1.0
483,2026-02-14,urbano,mobile,casual,0.761
484,2026-03-22,urbano,desktop,casual,0.863
485,2026-02-27,urbano,desktop,casual,0.889
486,2026-01-28,urbano,mobile,dedicado,0.983
487,2026-04-24,urbano,desktop,casual,0.769
488,2026-04-26,urbano,mobile,casual,0.857
489,2026-04-09,urbano,desktop,regular,0.831
490,2026-02-06,urbano,mobile,casual,0.817
491,2026-02-16,rural,mobile,regular,0.743
492,2026-02-07,urbano,mobile,regular,0.934
493,2026-03-29,urbano,desktop,regular,0.926
494,2026-01-03,rural,tablet,regular,0.542
495,2026-01-29,urbano,mobile,regular,0.845
496,2026-02-15,rural,mobile,regular,0.537
497,2026-03-26,urbano,tablet,regular,0.918
498,2026-02-06,rural,tablet,casual,0.737
499,2026-02-14,urbano,mobile,casual,0.816
500,2026-02-14,semiurbano,mobile,casual,0.67
501,2026-01-28,urbano,mobile,dedicado,0.81
502,2026-01-31,urbano,mobile,casual,0.908
503,2026-01-18,urbano,mobile,dedicado,0.77
504,2026-04-14,urbano,mobile,casual,0.796
505,2026-03-03,urbano,mobile,casual,0.882
506,2026-02-21,semiurbano,mobile,casual,0.749
507,2026-02-10,semiurbano,mobile,casual,0.725
508,2026-03-16,urbano,mobile,casual,0.82
509,2026-04-15,urbano,mobile,casual,0.715
510,2026-04-06,semiurbano,tablet,regular,0.661
511,2026-01-16,urbano,mobile,casual,0.957
512,2026-02-14,rural,mobile,casual,0.498
513,2026-01-31,semiurbano,desktop,dedicado,0.699
514,2026-03-01,semiurbano,mobile,casual,0.489
515,2026-03-18,urbano,mobile,regular,0.843
516,2026-01-20,urbano,desktop,dedicado,0.922
517,2026-02-16,urbano,desktop,casual,0.861
518,2026-02-27,rural,mobile,regular,0.488
519,2026-03-16,urbano,tablet,regular,0.915
520,2026-03-13,semiurbano,mobile,casual,0.777
521,2026-02-12,urbano,desktop,regular,0.948
522,2026-01-11,urbano,desktop,dedicado,0.987
523,2026-02-03,urbano,mobile,dedicado,0.934
524,2026-04-03,semiurbano,mobile,regular,0.76
525,2026-03-01,rural,mobile,casual,0.606
526,2026-01-29,urbano,mobile,regular,0.891
527,2026-01-21,semiurbano,mobile,dedicado,0.696
528,2026-01-13,urbano,mobile,dedicado,0.81
529,2026-03-22,urbano,mobile,casual,0.856
530,2026-01-20,urbano,mobile,dedicado,0.834
531,2026-03-05,urbano,desktop,regular,0.966
532,2026-01-11,urbano,mobile,dedicado,0.808
533,2026-01-07,semiurbano,mobile,casual,0.813
534,2026-02-09,urbano,mobile,dedicado,0.877
535,2026-03-26,semiurbano,mobile,regular,0.859
536,2026-03-03,semiurbano,desktop,casual,0.675
537,2026-01-26,urbano,mobile,regular,0.817
538,2026-03-17,rural,mobile,casual,0.639
539,2026-03-08,urbano,mobile,regular,1.0
540,2026-03-15,rural,mobile,regular,0.493
541,2026-01-24,semiurbano,mobile,regular,0.592
542,2026-02-12,semiurbano,mobile,regular,0.552
543,2026-03-06,urbano,mobile,regular,1.0
544,2026-01-31,semiurbano,mobile,casual,0.828
545,2026-01-05,semiurbano,desktop,regular,0.749
546,2026-03-21,semiurbano,mobile,regular,0.622
547,2026-02-09,urbano,mobile,casual,1.0
548,2026-01-25,urbano,mobile,casual,0.876
549,2026-02-05,semiurbano,tablet,regular,0.693
550,2026-02-09,urbano,mobile,dedicado,0.938
551,2026-01-13,urbano,desktop,dedicado,0.863
552,2026-04-29,urbano,mobile,casual,0.916
553,2026-04-19,urbano,mobile,casual,0.857
554,2026-01-06,urbano,desktop,regular,0.772
555,2026-01-17,semiurbano,desktop,regular,0.783
556,2026-03-02,urbano,mobile,dedicado,0.917
557,2026-03-11,urbano,tablet,regular,0.801
558,2026-03-04,rural,mobile,casual,0.567
559,2026-03-15,semiurbano,mobile,regular,0.596
560,2026-04-05,semiurbano,mobile,regular,0.734
561,2026-02-04,semiurbano,mobile,dedicado,0.554
562,2026-03-09,urbano,mobile,casual,0.893
